trace	state	block	B	Delta_prep	P	R	theta	|B|
191	47	3	-1	-0.3	-1.0	-1.0	1	1B
192	0	4	-1	-1.5	1.0	1.0	1	2B
193	1	4	-1	0.3	1.0	1.0	1	2B
194	2	4	-1	0.9	1.0	1.0	1	2B
195	3	4	-1	1.5	1.0	1.0	1	2B
196	4	4	-1	-0.9	1.0	1.0	1	2B
197	5	4	-1	-0.3	1.0	1.0	1	2B
198	6	4	-1	0.3	1.0	1.0	1	2B
199	7	4	-1	0.9	1.0	1.0	1	2B
200	8	4	-1	1.5	1.0	1.0	1	2B
201	9	4	-1	-0.9	1.0	1.0	1	2B
202	10	4	-1	-0.3	1.0	1.0	1	2B
203	11	4	-1	-1.5	1.0	1.0	1	2B
204	12	4	-1	-0.3	1.0	1.0	-1	2B
205	13	4	-1	1.5	1.0	1.0	-1	2B
206	14	4	-1	0.9	1.0	1.0	-1	2B
207	15	4	-1	-0.9	1.0	1.0	-1	2B
208	16	4	-1	-1.5	1.0	1.0	-1	2B
209	17	4	-1	0.3	1.0	1.0	-1	2B
210	18	4	-1	-0.3	1.0	1.0	-1	2B
211	19	4	-1	-0.9	1.0	1.0	-1	2B
212	20	4	-1	0.9	1.0	1.0	-1	2B
213	21	4	-1	0.3	1.0	1.0	-1	2B
214	22	4	-1	-1.5	1.0	1.0	-1	2B
215	23	4	-1	1.5	1.0	1.0	-1	2B
216	24	4	1	-0.9	1.0	1.0	-1	2B
217	25	4	1	-1.5	1.0	1.0	-1	2B
218	26	4	1	1.5	1.0	1.0	-1	2B
219	27	4	1	0.9	1.0	1.0	-1	2B
220	28	4	1	-0.3	1.0	1.0	-1	2B
221	29	4	1	0.3	1.0	1.0	-1	2B
222	30	4	1	1.5	1.0	1.0	-1	2B
223	31	4	1	0.9	1.0	1.0	-1	2B
224	32	4	1	-0.9	1.0	1.0	-1	2B
225	33	4	1	-0.3	1.0	1.0	-1	2B
226	34	4	1	0.3	1.0	1.0	-1	2B
227	35	4	1	-1.5	1.0	1.0	-1	2B
228	36	4	1	-0.9	1.0	1.0	1	2B
229	37	4	1	0.3	1.0	1.0	1	2B
230	38	4	1	-0.3	1.0	1.0	1	2B
231	39	4	1	-1.5	1.0	1.0	1	2B
232	40	4	1	1.5	1.0	1.0	1	2B
233	41	4	1	0.9	1.0	1.0	1	2B
234	42	4	1	0.9	1.0	1.0	1	2B
235	43	4	1	0.3	1.0	1.0	1	2B
236	44	4	1	-0.9	1.0	1.0	1	2B
237	45	4	1	-1.5	1.0	1.0	1	2B
238	46	4	1	-0.3	1.0	1.0	1	2B
239	47	4	1	1.5	1.0	1.0	1	2B
240	0	5	1	0.3	1.0	-1.0	1	2B
241	1	5	1	-0.9	1.0	-1.0	1	2B
242	2	5	1	-1.5	1.0	-1.0	1	2B
243	3	5	1	-0.3	1.0	-1.0	1	2B
244	4	5	1	1.5	1.0	-1.0	1	2B
245	5	5	1	0.9	1.0	-1.0	1	2B
246	6	5	1	-0.3	1.0	-1.0	1	2B
247	7	5	1	0.3	1.0	-1.0	1	2B
248	8	5	1	-1.5	1.0	-1.0	1	2B
249	9	5	1	1.5	1.0	-1.0	1	2B
250	10	5	1	0.9	1.0	-1.0	1	2B
251	11	5	1	-0.9	1.0	-1.0	1	2B
252	12	5	1	1.5	1.0	-1.0	-1	2B
253	13	5	1	-1.5	1.0	-1.0	-1	2B
254	14	5	1	-0.3	1.0	-1.0	-1	2B
255	15	5	1	-0.9	1.0	-1.0	-1	2B
256	16	5	1	0.3	1.0	-1.0	-1	2B
257	17	5	1	0.9	1.0	-1.0	-1	2B
258	18	5	1	1.5	1.0	-1.0	-1	2B
259	19	5	1	-1.5	1.0	-1.0	-1	2B
260	20	5	1	0.3	1.0	-1.0	-1	2B
261	21	5	1	-0.9	1.0	-1.0	-1	2B
262	22	5	1	0.9	1.0	-1.0	-1	2B
263	23	5	1	-0.3	1.0	-1.0	-1	2B
264	24	5	-1	-0.9	1.0	-1.0	1	2B
265	25	5	-1	0.9	1.0	-1.0	1	2B
266	26	5	-1	-1.5	1.0	-1.0	1	2B
267	27	5	-1	0.3	1.0	-1.0	1	2B
268	28	5	-1	1.5	1.0	-1.0	1	2B
269	29	5	-1	-0.3	1.0	-1.0	1	2B
270	30	5	-1	-0.3	1.0	-1.0	-1	2B
271	31	5	-1	0.3	1.0	-1.0	-1	2B
272	32	5	-1	-0.9	1.0	-1.0	-1	2B
273	33	5	-1	-1.5	1.0	-1.0	-1	2B
274	34	5	-1	0.9	1.0	-1.0	-1	2B
275	35	5	-1	1.5	1.0	-1.0	-1	2B
276	36	5	-1	0.9	1.0	-1.0	-1	2B
277	37	5	-1	1.5	1.0	-1.0	-1	2B
278	38	5	-1	-0.9	1.0	-1.0	-1	2B
279	39	5	-1	-1.5	1.0	-1.0	-1	2B
280	40	5	-1	-0.3	1.0	-1.0	-1	2B
281	41	5	-1	0.3	1.0	-1.0	-1	2B
282	42	5	-1	1.5	1.0	-1.0	1	2B
283	43	5	-1	-1.5	1.0	-1.0	1	2B
284	44	5	-1	0.9	1.0	-1.0	1	2B
285	45	5	-1	0.3	1.0	-1.0	1	2B
286	46	5	-1	-0.9	1.0	-1.0	1	2B
287	47	5	-1	-0.3	1.0	-1.0	1	2B
288	0	6	-1	0.9	-1.0	-1.0	1	2B
289	1	6	-1	-0.9	-1.0	-1.0	1	2B
290	2	6	-1	1.5	-1.0	-1.0	1	2B
291	3	6	-1	-0.3	-1.0	-1.0	1	2B
292	4	6	-1	-1.5	-1.0	-1.0	1	2B
293	5	6	-1	0.3	-1.0	-1.0	1	2B
294	6	6	-1	-1.5	-1.0	-1.0	1	2B
295	7	6	-1	0.3	-1.0	-1.0	1	2B
296	8	6	-1	-0.3	-1.0	-1.0	1	2B
297	9	6	-1	-0.9	-1.0	-1.0	1	2B
298	10	6	-1	0.9	-1.0	-1.0	1	2B
299	11	6	-1	1.5	-1.0	-1.0	1	2B
300	12	6	-1	0.9	-1.0	-1.0	-1	2B
301	13	6	-1	-0.9	-1.0	-1.0	-1	2B
302	14	6	-1	1.5	-1.0	-1.0	-1	2B
303	15	6	-1	-0.3	-1.0	-1.0	-1	2B
304	16	6	-1	-1.5	-1.0	-1.0	-1	2B
305	17	6	-1	0.3	-1.0	-1.0	-1	2B
306	18	6	-1	-1.5	-1.0	-1.0	-1	2B
307	19	6	-1	-0.9	-1.0	-1.0	-1	2B
308	20	6	-1	0.3	-1.0	-1.0	-1	2B
309	21	6	-1	0.9	-1.0	-1.0	-1	2B
310	22	6	-1	1.5	-1.0	-1.0	-1	2B
311	23	6	-1	-0.3	-1.0	-1.0	-1	2B
312	24	6	1	0.3	-1.0	-1.0	1	2B
313	25	6	1	-1.5	-1.0	-1.0	1	2B
314	26	6	1	-0.3	-1.0	-1.0	1	2B
315	27	6	1	-0.9	-1.0	-1.0	1	2B
316	28	6	1	0.9	-1.0	-1.0	1	2B
