time	Stem Pressure (Torr)	time	Beam Box Pressure (Torr)	time	Dump Region Pressure (Torr)
2016-02-22T16:20:56.027000	2.96e-08	2016-02-22T16:20:57.067000	7.8e-08	2016-02-22T16:20:56.547000	0.000638
2016-02-22T16:21:00.527000	2.96e-08	2016-02-22T16:21:01.073000	7.82e-08	2016-02-22T16:21:00.547000	0.000638
2016-02-22T16:21:04.527000	2.96e-08	2016-02-22T16:21:05.090000	7.82e-08	2016-02-22T16:21:04.547000	0.000638
2016-02-22T16:21:09.027000	2.96e-08	2016-02-22T16:21:09.570000	7.82e-08	2016-02-22T16:21:08.547000	0.000638
2016-02-22T16:21:13.027000	2.96e-08	2016-02-22T16:21:13.590000	7.82e-08	2016-02-22T16:21:13.047000	0.000638
2016-02-22T16:21:17.530000	2.96e-08	2016-02-22T16:21:18.070000	7.82e-08	2016-02-22T16:21:17.047000	0.000638
2016-02-22T16:21:22.027000	2.96e-08	2016-02-22T16:21:22.077000	7.82e-08	2016-02-22T16:21:21.047000	0.000638
2016-02-22T16:21:26.027000	2.96e-08	2016-02-22T16:21:26.077000	7.82e-08	2016-02-22T16:21:25.057000	0.000638
2016-02-22T16:21:30.027000	2.96e-08	2016-02-22T16:21:30.080000	7.82e-08	2016-02-22T16:21:29.547000	0.000638
2016-02-22T16:21:34.527000	2.96e-08	2016-02-22T16:21:34.580000	7.82e-08	2016-02-22T16:21:33.560000	0.000638
2016-02-22T16:21:38.527000	2.96e-08	2016-02-22T16:21:38.580000	7.82e-08	2016-02-22T16:21:38.047000	0.000638
2016-02-22T16:21:42.527000	2.96e-08	2016-02-22T16:21:42.580000	7.82e-08	2016-02-22T16:21:42.047000	0.000638
2016-02-22T16:21:46.527000	2.96e-08	2016-02-22T16:21:47.067000	7.82e-08	2016-02-22T16:21:46.057000	0.000638
2016-02-22T16:21:50.527000	2.96e-08	2016-02-22T16:21:51.080000	7.82e-08	2016-02-22T16:21:50.547000	0.000638
2016-02-22T16:21:54.530000	2.96e-08	2016-02-22T16:21:55.080000	7.82e-08	2016-02-22T16:21:54.547000	0.000638
2016-02-22T16:21:58.530000	2.96e-08	2016-02-22T16:21:59.080000	7.82e-08	2016-02-22T16:21:58.547000	0.000638
2016-02-22T16:22:02.533000	2.96e-08	2016-02-22T16:22:03.577000	7.82e-08	2016-02-22T16:22:02.557000	0.000638
2016-02-22T16:22:07.030000	2.96e-08	2016-02-22T16:22:08.070000	7.8e-08	2016-02-22T16:22:07.067000	0.000638
2016-02-22T16:22:11.530000	2.96e-08	2016-02-22T16:22:12.080000	7.8e-08	2016-02-22T16:22:11.563000	0.000638
2016-02-22T16:22:15.533000	2.96e-08	2016-02-22T16:22:16.087000	7.82e-08	2016-02-22T16:22:16.057000	0.000638
2016-02-22T16:22:19.533000	2.96e-08	2016-02-22T16:22:20.087000	7.8e-08	2016-02-22T16:22:20.063000	0.000638
2016-02-22T16:22:23.537000	2.96e-08	2016-02-22T16:22:24.587000	7.82e-08	2016-02-22T16:22:24.560000	0.000638
2016-02-22T16:22:28.027000	2.96e-08	2016-02-22T16:22:28.590000	7.8e-08	2016-02-22T16:22:28.567000	0.000638
2016-02-22T16:22:32.523000	2.96e-08	2016-02-22T16:22:33.080000	7.82e-08	2016-02-22T16:22:33.060000	0.000638
2016-02-22T16:22:36.523000	2.96e-08	2016-02-22T16:22:37.570000	7.8e-08	2016-02-22T16:22:37.550000	0.000637
2016-02-22T16:22:40.527000	2.96e-08	2016-02-22T16:22:41.570000	7.82e-08	2016-02-22T16:22:41.550000	0.000638
2016-02-22T16:22:44.527000	2.96e-08	2016-02-22T16:22:46.070000	7.82e-08	2016-02-22T16:22:46.050000	0.000638
2016-02-22T16:22:49.027000	2.96e-08	2016-02-22T16:22:50.070000	7.82e-08	2016-02-22T16:22:50.050000	0.000637
2016-02-22T16:22:53.027000	2.96e-08	2016-02-22T16:22:54.080000	7.82e-08	2016-02-22T16:22:54.057000	0.000637
2016-02-22T16:22:57.027000	2.96e-08	2016-02-22T16:22:58.080000	7.82e-08	2016-02-22T16:22:58.550000	0.000637
2016-02-22T16:23:01.030000	2.96e-08	2016-02-22T16:23:02.590000	7.82e-08	2016-02-22T16:23:02.570000	0.000637
2016-02-22T16:23:05.030000	2.96e-08	2016-02-22T16:23:07.083000	7.82e-08	2016-02-22T16:23:07.050000	0.000637
2016-02-22T16:23:09.030000	2.96e-08	2016-02-22T16:23:11.600000	7.82e-08	2016-02-22T16:23:11.060000	0.000637
2016-02-22T16:23:13.030000	2.96e-08	2016-02-22T16:23:16.083000	7.8e-08	2016-02-22T16:23:15.550000	0.000637
2016-02-22T16:23:17.030000	2.96e-08	2016-02-22T16:23:20.580000	7.82e-08	2016-02-22T16:23:19.563000	0.000637
2016-02-22T16:23:21.033000	2.96e-08	2016-02-22T16:23:25.080000	7.8e-08	2016-02-22T16:23:24.050000	0.000637
2016-02-22T16:23:25.533000	2.96e-08	2016-02-22T16:23:29.090000	7.82e-08	2016-02-22T16:23:28.063000	0.000637
2016-02-22T16:23:29.537000	2.96e-08	2016-02-22T16:23:33.580000	7.82e-08	2016-02-22T16:23:32.073000	0.000637
2016-02-22T16:23:34.033000	2.96e-08	2016-02-22T16:23:37.590000	7.82e-08	2016-02-22T16:23:36.550000	0.000637
2016-02-22T16:23:38.527000	2.96e-08	2016-02-22T16:23:42.080000	7.8e-08	2016-02-22T16:23:40.560000	0.000637
2016-02-22T16:23:42.527000	2.96e-08	2016-02-22T16:23:46.587000	7.82e-08	2016-02-22T16:23:45.053000	0.000637
2016-02-22T16:23:47.027000	2.96e-08	2016-02-22T16:23:51.080000	7.82e-08	2016-02-22T16:23:49.053000	0.000637
2016-02-22T16:23:51.027000	2.96e-08	2016-02-22T16:23:55.580000	7.82e-08	2016-02-22T16:23:53.057000	0.000637
